"","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"Switzerland",1.77272582615019,1.34841775978212,1.79847611346613,1.5917414195252,1.73752772175066,1.75142802933005,0.572309606070039,-0.932277357775377,1.17348466282553,0.709027035225295,-0.239565992514353,-0.972449316550956,0.728732328202691,-0.913647201385053,0.744333098708172,0.407675132119018,1.13675887945677,-0.160889476162922,0.316161802149676,-0.296409602086355,0.753536111752307,1.01235167335525,-0.250110791591809,-0.533070234972238,0.10384389310277,0.178064446895181,-1.59084106097773,0.57631937115365,0.23780792053137
"Iceland",1.75254250663481,1.10481335658561,2.58320552998128,1.65628317017099,1.41537385417651,0.321079036394997,1.42793472917672,-1.78773102433333,2.43147239939543,0.083408245902866,-2.52525985313889,-2.43147239939543,0.0660118123758406,-0.23780792053137,0.451330925639339,0.271492214357256,1.13675887945677,-0.437630531047301,0.199201324789267,0.141825242326317,0.753536111752307,0.170642380389107,-1.12597839273265,-0.588210549209055,-1.61985625863827,0.0522995556137046,-1.59084106097773,1.53580412177857,-0.113323059587658
"Denmark",1.72611833078369,1.16466909894562,1.92841260037413,1.02520816500103,1.59422778792206,1.96176545588311,0.868960735554888,-1.17829142634161,1.87968973092101,0.483811708601436,-0.490146231781829,-1.10150554678709,0.680416776238936,-0.588210549209055,0.434736079276094,0.127238581134746,1.13675887945677,-0.588210549209055,0.122812419850878,-0.257241329086499,0.753536111752307,0.170642380389107,0.905385110276235,-1.82720353259824,-0.396509334145014,-0.159591765939658,-1.62446330993587,1.22641151469929,0.928046482316424
"Norway",1.72222948630676,1.51028512949088,1.60390766404316,1.10458289387,1.77474925093935,1.54900698979766,0.904487752243635,-1.50302934228627,2.00360134237245,0.0020357144454326,-0.550071296467694,-1.87968973092101,0.0943740485029919,-0.376201746254725,1.24885042056394,0.0884216952401798,1.13675887945677,-0.0754588663820661,-0.336038140371823,0.356048143350943,0.753536111752307,0.170642380389107,-1.8062669870491,-1.08438193805418,0.199201324789267,0.323075501494712,-1.64139066931242,0.884600644684893,-0.113323059587658
"Canada",1.64819728797655,1.16676301739866,1.52409566944435,1.26756905160829,1.45149893724824,1.40440802027746,1.54502675813509,-1.95896029891963,1.29451172542578,-0.801691058200022,0.681940631733698,-0.728732328202692,0.704368997936395,-0.830926702888386,1.57006803334514,0.286183313530365,0.610767694252199,-0.218463917270781,0.416981787294106,1.29451172542578,0.753536111752307,0.170642380389107,-1.63080017947869,-1.55351247251084,0.47950565333095,-0.251114734622305,-1.23980902283533,0.94863951345667,1.21186539705991
"Finland",1.63179505298047,1.0736305569153,1.48405653732676,1.13468641207554,1.5270281708781,1.73011580853253,0.102281109456979,-1.89907025093515,1.55351247251084,0.680755798243598,-0.514801043320221,-2.16909874493611,1.33936730456084,-0.458467590871497,1.54070951147403,0.747012702396658,1.13675887945677,-0.656848717406931,-0.52223925228217,0.208822935409233,0.753536111752307,-0.255436412643878,-1.60591524824454,-1.01885738688099,1.87968973092101,0.323075501494712,-1.45933586584288,1.06203470836051,0.645200916293897
"Netherlands",1.60990426632409,1.17490636428085,1.1708256646312,1.16391250506314,1.30451455458768,1.35513896779162,1.63887285515919,-0.738008199286851,1.69420905962633,0.350071305467389,0.216500722736111,-1.21186539705991,0.622163161537351,-0.565948821932863,1.3369041147128,-0.00214969771176432,1.13675887945677,-0.8045963803603,-0.199201324789267,-0.0660118123758407,0.753536111752307,1.01235167335525,0.526638086848783,-0.356048143350943,-0.588210549209055,0.323075501494712,-1.59084106097773,1.36113642283267,-0.844309926467412
"Sweden",1.59894977969485,1.18077507007282,1.23879205056964,1.31168790706455,1.68617244230532,1.81551593508727,1.00179944062406,-2.3195909456081,1.33936730456084,0.54039357084031,-0.135498575910673,-1.77931599593264,0.468960676235104,-0.276772384337838,1.25852989376742,0.466024246897702,1.13675887945677,-0.376201746254725,-0.437630531047301,-0.0282740103804692,0.753536111752307,-0.255436412643878,-1.60664905638626,-1.46523379268552,1.77931599593264,0.712670905474592,-1.70989462168395,1.13777643659016,0.23780792053137
"New Zealand",1.53780588181175,0.970167191253994,1.4969217634012,1.290512842448,1.50695051695391,1.78413363295455,1.63325439575582,-2.88511539180979,1.25211952026522,0.302513601174193,-0.630129119687121,-0.753536111752307,0.957438716409626,-0.141825242326318,2.3751455364334,0.307950071916862,1.13675887945677,-0.180012369792705,-0.296409602086355,1.43820484883178,0.753536111752307,0.170642380389107,-0.0622283071426763,-1.65588869757704,0.52223925228217,0.0522995556137046,-1.1943873265134,1.16009300176767,2.16909874493611
"Australia",1.53623558393798,1.1856098472389,1.40408139719498,1.49661975180424,1.61056507726279,1.51477227934813,1.42422294858554,-2.52037453304309,1.06757052387814,0.607519282828632,0.429003167358467,-0.913647201385053,1.61985625863827,-0.356048143350943,2.47989625469686,0.206915360754014,1.13675887945677,0.218463917270781,-0.0849126598079153,1.21186539705991,0.753536111752307,0.170642380389107,0.193808272305401,-1.25211952026522,-0.356048143350943,0.323075501494712,-1.30123260893723,1.3098158522781,1.82720353259824
