Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Afghanistan,AFG,19
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Albania,ALB,10.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Algeria,DZA,10.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,American Samoa,ASM,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Andorra,AND,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Angola,AGO,17
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Antigua and Barbuda,ATG,9.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Argentina,ARG,11.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Armenia,ARM,1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Aruba,ABW,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Australia,AUS,0.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Austria,AUT,5.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Azerbaijan,AZE,1.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Bahamas, The",BHS,10.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bahrain,BHR,0.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bangladesh,BGD,13.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Barbados,BRB,7.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Belarus,BLR,0.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Belgium,BEL,5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Belize,BLZ,34.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Benin,BEN,45.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bermuda,BMU,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bhutan,BTN,4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bolivia,BOL,54.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bosnia and Herzegovina,BIH,14.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Botswana,BWA,0.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Brazil,BRA,4.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,British Virgin Islands,VGB,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Brunei Darussalam,BRN,1.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Bulgaria,BGR,1.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Burkina Faso,BFA,43.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Burundi,BDI,13.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cabo Verde,CPV,14.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cambodia,KHM,59.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cameroon,CMR,33
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Canada,CAN,0.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cayman Islands,CYM,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Central African Republic,CAF,181.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Chad,TCD,150.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Channel Islands,CHI,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Chile,CHL,3.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,China,CHN,0.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Colombia,COL,14.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Comoros,COM,89.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Congo, Dem. Rep.",COD,29.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Congo, Rep.",COG,52.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Costa Rica,CRI,11.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cote d'Ivoire,CIV,18.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Croatia,HRV,3.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cuba,CUB,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Curacao,CUW,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Cyprus,CYP,12.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Czech Republic,CZE,6.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Denmark,DNK,0.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Djibouti,DJI,170.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Dominica,DMA,15
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Dominican Republic,DOM,15.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Ecuador,ECU,22
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Egypt, Arab Rep.",EGY,7.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,El Salvador,SLV,43.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Equatorial Guinea,GNQ,99.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Eritrea,ERI,38.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Estonia,EST,1.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Ethiopia,ETH,79.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Faroe Islands,FRO,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Fiji,FJI,21.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Finland,FIN,1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,France,FRA,0.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,French Polynesia,PYF,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Gabon,GAB,15.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Gambia, The",GMB,141.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Georgia,GEO,3.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Germany,DEU,2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Ghana,GHA,19.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Gibraltar,GIB,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Greece,GRC,2.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Greenland,GRL,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Grenada,GRD,17.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Guam,GUM,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Guatemala,GTM,25.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Guinea,GIN,79
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Guinea-Bissau,GNB,61.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Guyana,GUY,10.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Haiti,HTI,235.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Honduras,HND,42
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Hong Kong SAR, China",HKG,1.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Hungary,HUN,7.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Iceland,ISL,2.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,India,IND,14.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Indonesia,IDN,19.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Iran, Islamic Rep.",IRN,2.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Iraq,IRQ,37.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Ireland,IRL,0.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Isle of Man,IMN,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Israel,ISR,3.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Italy,ITA,14
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Jamaica,JAM,5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Japan,JPN,7.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Jordan,JOR,19
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kazakhstan,KAZ,0.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kenya,KEN,43.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kiribati,KIR,46
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Korea, Dem. People’s Rep.",PRK,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Korea, Rep.",KOR,14.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kosovo,XKX,1.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kuwait,KWT,2.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Kyrgyz Republic,KGZ,2.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Lao PDR,LAO,4.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Latvia,LVA,1.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Lebanon,LBN,34.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Lesotho,LSO,9.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Liberia,LBR,16.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Libya,LBY,26.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Liechtenstein,LIE,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Lithuania,LTU,0.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Luxembourg,LUX,2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Macao SAR, China",MAC,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Macedonia, FYR",MKD,0.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Madagascar,MDG,43.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Malawi,MWI,84.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Malaysia,MYS,6.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Maldives,MDV,4.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mali,MLI,71.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Malta,MLT,14.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Marshall Islands,MHL,12.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mauritania,MRT,19.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mauritius,MUS,2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mexico,MEX,18.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Micronesia, Fed. Sts.",FSM,141.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Moldova,MDA,4.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Monaco,MCO,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mongolia,MNG,1.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Montenegro,MNE,1.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Morocco,MAR,9.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Mozambique,MOZ,15.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Myanmar,MMR,98
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Namibia,NAM,11.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Nauru,NRU,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Nepal,NPL,28.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Netherlands,NLD,4.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,New Caledonia,NCL,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,New Zealand,NZL,0.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Nicaragua,NIC,72.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Niger,NER,67.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Nigeria,NGA,31.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Northern Mariana Islands,MNP,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Norway,NOR,0.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Oman,OMN,3.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Pakistan,PAK,13.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Palau,PLW,3.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Panama,PAN,6.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Papua New Guinea,PNG,17.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Paraguay,PRY,39.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Peru,PER,9.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Philippines,PHL,16.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Poland,POL,12.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Portugal,PRT,2.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Puerto Rico,PRI,1.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Qatar,QAT,5.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Romania,ROU,2.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Russian Federation,RUS,1.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Rwanda,RWA,55
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Samoa,WSM,8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,San Marino,SMR,9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sao Tome and Principe,STP,16.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Saudi Arabia,SAU,5.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Senegal,SEN,63.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Serbia,SRB,6.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Seychelles,SYC,14.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sierra Leone,SLE,44.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Singapore,SGP,0.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sint Maarten (Dutch part),SXM,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Slovak Republic,SVK,1.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Slovenia,SVN,0
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Solomon Islands,SLB,31.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Somalia,SOM,180
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,South Africa,ZAF,0.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,South Sudan,SSD,330.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Spain,ESP,5.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sri Lanka,LKA,18.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,St. Kitts and Nevis,KNA,7.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,St. Lucia,LCA,22.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,St. Martin (French part),MAF,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,St. Vincent and the Grenadines,VCT,16.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sudan,SDN,14.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Suriname,SUR,100.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Swaziland,SWZ,23.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Sweden,SWE,0.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Switzerland,CHE,2.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Syrian Arab Republic,SYR,8.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Tajikistan,TJK,21.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Tanzania,TZA,51.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Thailand,THA,6.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Timor-Leste,TLS,0.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Togo,TGO,77.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Tonga,TON,7.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Trinidad and Tobago,TTO,0.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Tunisia,TUN,3.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Turkey,TUR,17.8
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Turkmenistan,TKM,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Turks and Caicos Islands,TCA,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Tuvalu,TUV,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Uganda,UGA,39.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Ukraine,UKR,1.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,United Arab Emirates,ARE,11.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,United Kingdom,GBR,0.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,United States,USA,1.1
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Uruguay,URY,21.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Uzbekistan,UZB,3.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Vanuatu,VUT,44.2
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Venezuela, RB",VEN,88.7
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Vietnam,VNM,4.9
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Virgin Islands (U.S.),VIR,..
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,West Bank and Gaza,PSE,83.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,"Yemen, Rep.",YEM,68
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Zambia,ZMB,34.3
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Zimbabwe,ZWE,118.4
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Arab World,ARB,36.9136363636364
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Caribbean small states,CSS,19.8461538461538
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Central Europe and the Baltics,CEB,3.5
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Early-demographic dividend,EAR,36.1868852459016
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,East Asia & Pacific,EAS,20.0068965517241
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,East Asia & Pacific (excluding high income),EAP,27.44
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,26.2904761904762
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Euro area,EMU,4.01578947368421
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Europe & Central Asia,ECS,4.15714285714286
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Europe & Central Asia (excluding high income),ECA,4.75714285714286
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,5.09545454545454
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,European Union,EUU,3.94285714285714
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Fragile and conflict affected situations,FCS,76.46
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Heavily indebted poor countries (HIPC),HPC,61.7076923076923
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,High income,HIC,4.625
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IBRD only,IBD,16.055223880597
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IDA & IBRD total,IBT,34.4943262411348
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IDA blend,IDB,25.35625
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IDA only,IDX,58.3155172413793
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IDA total,IDA,51.1891891891892
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Late-demographic dividend,LTE,7.0125
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Latin America & Caribbean,LCN,30.2727272727273
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Latin America & Caribbean (excluding high income),LAC,37.468
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,32.66
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Least developed countries: UN classification,LDC,65.85
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Low & middle income,LMY,36.3761194029851
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Low income,LIC,83.1666666666667
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Lower middle income,LMC,29.1377358490566
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Middle East & North Africa,MEA,25.1666666666667
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Middle East & North Africa (excluding high income),MNA,37.1307692307692
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,33.2666666666667
