Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Afghanistan,AFG,-163102610
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Albania,ALB,-911934900.696443
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Algeria,DZA,498934428.052967
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,American Samoa,ASM,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Andorra,AND,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Angola,AGO,-8235471070.50788
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Antigua and Barbuda,ATG,-95640974.6299259
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Argentina,ARG,-10883760783.9318
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Armenia,ARM,-161524903.881975
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Aruba,ABW,39290644.1340782
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Australia,AUS,-37718475835.6456
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Austria,AUT,6361435807.84383
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Azerbaijan,AZE,-838252000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Bahamas, The",BHS,-76075924.75
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bahrain,BHR,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bangladesh,BGD,-2771250741.40178
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Barbados,BRB,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Belarus,BLR,-1545700000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Belgium,BEL,15983764040.0679
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Belize,BLZ,-58649340.1251989
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Benin,BEN,-116967795.514923
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bermuda,BMU,58627864.425454
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bhutan,BTN,-10768411.2863194
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bolivia,BOL,-556430243.093449
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bosnia and Herzegovina,BIH,-276174579.810491
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Botswana,BWA,-494257591.315205
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Brazil,BRA,-61199691118.66
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,British Virgin Islands,VGB,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Brunei Darussalam,BRN,-171289167.823995
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Bulgaria,BGR,-2605410000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Burkina Faso,BFA,-217631986.631092
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Burundi,BDI,-49470693.0791751
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cabo Verde,CPV,-111989153.507983
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cambodia,KHM,-1653507624.87208
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cameroon,CMR,-638036057.851862
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Canada,CAN,22593720828.2548
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cayman Islands,CYM,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Central African Republic,CAF,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Chad,TCD,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Channel Islands,CHI,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Chile,CHL,-3726363221.73767
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,China,CHN,-68098649764.7788
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Colombia,COL,-7517989279.4583
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Comoros,COM,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Congo, Dem. Rep.",COD,-1165720010.30767
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Congo, Rep.",COG,-3727584116.95356
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Costa Rica,CRI,-2541308963.6613
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cote d'Ivoire,CIV,-479807382.372979
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Croatia,HRV,-175731670.229588
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cuba,CUB,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Curacao,CUW,-127804469.273743
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Cyprus,CYP,9280975832.02352
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Czech Republic,CZE,2026234172.19674
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Denmark,DNK,5548424492.75913
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Djibouti,DJI,-123998424.487959
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Dominica,DMA,-22726821.6555556
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Dominican Republic,DOM,-2204900000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Ecuador,ECU,-1322482337.30748
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Egypt, Arab Rep.",EGY,-6703100000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,El Salvador,SLV,-398801120.042298
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Equatorial Guinea,GNQ,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Eritrea,ERI,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Estonia,EST,136864862.916163
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Ethiopia,ETH,-2626520129.68937
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Faroe Islands,FRO,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Fiji,FJI,-341868557.706448
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Finland,FIN,-17643176724.253
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,France,FRA,-2107836716.96633
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,French Polynesia,PYF,-3267219.21939577
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Gabon,GAB,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Gambia, The",GMB,652250.055745318
