Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,2.06782464846981
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.1569343065693
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.821248331052088
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,87.7
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.0425531914894
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,46.4073153124248
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,22.2727272727273
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,9.90685828500853
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,11.6613979627678
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.33333333333333
Forest area (% of land area),AG.LND.FRST.ZS,Australia,AUS,16.2387566223657
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,46.8838990342087
Forest area (% of land area),AG.LND.FRST.ZS,Azerbaijan,AZE,13.7836758888499
Forest area (% of land area),AG.LND.FRST.ZS,"Bahamas, The",BHS,51.4485514485514
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,0.778210116731518
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,10.977951909042
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,14.6511627906977
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,42.5484204819871
Forest area (% of land area),AG.LND.FRST.ZS,Belgium,BEL,22.5693527080581
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,59.8991670320035
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,38.2316424263923
Forest area (% of land area),AG.LND.FRST.ZS,Bermuda,BMU,20
Forest area (% of land area),AG.LND.FRST.ZS,Bhutan,BTN,72.2756250491907
Forest area (% of land area),AG.LND.FRST.ZS,Bolivia,BOL,50.5529400904643
