Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Afghanistan,AFG,62
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Albania,ALB,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Algeria,DZA,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,American Samoa,ASM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Andorra,AND,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Angola,AGO,55
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Antigua and Barbuda,ATG,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Argentina,ARG,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Armenia,ARM,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Aruba,ABW,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Australia,AUS,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Austria,AUT,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Azerbaijan,AZE,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Bahamas, The",BHS,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bahrain,BHR,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bangladesh,BGD,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Barbados,BRB,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belarus,BLR,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belgium,BEL,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belize,BLZ,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Benin,BEN,74
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bermuda,BMU,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bhutan,BTN,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bolivia,BOL,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bosnia and Herzegovina,BIH,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Botswana,BWA,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brazil,BRA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,British Virgin Islands,VGB,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brunei Darussalam,BRN,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bulgaria,BGR,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burkina Faso,BFA,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burundi,BDI,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cabo Verde,CPV,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cambodia,KHM,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cameroon,CMR,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cayman Islands,CYM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Central African Republic,CAF,49
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chad,TCD,60
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Channel Islands,CHI,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chile,CHL,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,China,CHN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Colombia,COL,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Comoros,COM,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Dem. Rep.",COD,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Rep.",COG,80
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Costa Rica,CRI,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cote d'Ivoire,CIV,72
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Croatia,HRV,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cuba,CUB,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Curacao,CUW,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cyprus,CYP,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Czech Republic,CZE,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Denmark,DNK,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Djibouti,DJI,74
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominica,DMA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominican Republic,DOM,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ecuador,ECU,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Egypt, Arab Rep.",EGY,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,El Salvador,SLV,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Equatorial Guinea,GNQ,27
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Eritrea,ERI,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Estonia,EST,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ethiopia,ETH,70
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Faroe Islands,FRO,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Fiji,FJI,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Finland,FIN,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,France,FRA,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,French Polynesia,PYF,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Gabon,GAB,68
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Gambia, The",GMB,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Georgia,GEO,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Germany,DEU,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ghana,GHA,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Gibraltar,GIB,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Greece,GRC,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Greenland,GRL,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Grenada,GRD,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guam,GUM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guatemala,GTM,77
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guinea,GIN,53
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guinea-Bissau,GNB,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guyana,GUY,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Haiti,HTI,53
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Honduras,HND,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Hong Kong SAR, China",HKG,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Hungary,HUN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Iceland,ISL,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,India,IND,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Indonesia,IDN,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Iran, Islamic Rep.",IRN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Iraq,IRQ,57
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ireland,IRL,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Isle of Man,IMN,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Israel,ISR,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Italy,ITA,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Jamaica,JAM,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Japan,JPN,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Jordan,JOR,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kazakhstan,KAZ,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kenya,KEN,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kiribati,KIR,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Korea, Dem. People’s Rep.",PRK,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Korea, Rep.",KOR,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kosovo,XKX,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kuwait,KWT,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kyrgyz Republic,KGZ,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lao PDR,LAO,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Latvia,LVA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lebanon,LBN,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lesotho,LSO,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Liberia,LBR,64
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Libya,LBY,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Liechtenstein,LIE,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lithuania,LTU,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Luxembourg,LUX,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Macao SAR, China",MAC,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Macedonia, FYR",MKD,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Madagascar,MDG,58
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malawi,MWI,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malaysia,MYS,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Maldives,MDV,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mali,MLI,70
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malta,MLT,89
