Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Afghanistan,AFG,48.8016150277632
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Albania,ALB,44.7366177301082
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Algeria,DZA,36.5464586498625
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,American Samoa,ASM,99.6965098634294
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Andorra,AND,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Angola,AGO,36.8763946601787
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Antigua and Barbuda,ATG,49.1195263602898
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Argentina,ARG,11.8481403559703
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Armenia,ARM,41.8652688700677
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Aruba,ABW,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Australia,AUS,21.1304650046753
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Austria,AUT,49.2045197877218
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Azerbaijan,AZE,34.806730415594
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Bahamas, The",BHS,41.3976868327402
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bahrain,BHR,71.6506085452675
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bangladesh,BGD,24.7493241532437
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Barbados,BRB,43.7725641612949
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belarus,BLR,57.9040596348719
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belgium,BEL,79.4069563234343
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belize,BLZ,67.6964348543129
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Benin,BEN,39.7964802088219
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bermuda,BMU,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bhutan,BTN,61.7307732347271
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bolivia,BOL,37.0645490574389
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bosnia and Herzegovina,BIH,53.2308843712708
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Botswana,BWA,53.5596064405686
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,14.0666923086666
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,British Virgin Islands,VGB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam,BRN,32.6864664191698
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bulgaria,BGR,63.9594510742489
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burkina Faso,BFA,36.2874142473532
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burundi,BDI,29.7405833173584
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cabo Verde,CPV,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cambodia,KHM,66.1456432379888
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cameroon,CMR,27.6095407796239
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Canada,CAN,33.9997623954151
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cayman Islands,CYM,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central African Republic,CAF,34.5787004395539
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chad,TCD,37.3185231557867
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Channel Islands,CHI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chile,CHL,29.7884550322034
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,18.4891375796359
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Colombia,COL,23.3728506515603
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Comoros,COM,47.2851597953723
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Dem. Rep.",COD,31.6068631634075
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Rep.",COG,96.3702955606306
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Costa Rica,CRI,31.872490172166
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cote d'Ivoire,CIV,25.8275151679878
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Croatia,HRV,46.3276018854146
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cuba,CUB,14.4505857725219
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Curacao,CUW,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cyprus,CYP,64.0694397474918
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Czech Republic,CZE,75.0505626571141
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Denmark,DNK,48.3833619126361
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Djibouti,DJI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominica,DMA,58.8064327897609
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominican Republic,DOM,29.2828114090752
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ecuador,ECU,23.9856557706229
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Egypt, Arab Rep.",EGY,21.6620974671631
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,El Salvador,SLV,41.8988083220164
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Equatorial Guinea,GNQ,43.7029085674624
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eritrea,ERI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Estonia,EST,74.6039515327999
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ethiopia,ETH,30.2928105475922
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Faroe Islands,FRO,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fiji,FJI,55.2167051296687
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Finland,FIN,36.9658975973741
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,France,FRA,31.1795001738641
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,French Polynesia,PYF,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gabon,GAB,28.2609752723577
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Gambia, The",GMB,50.4211263144215
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Georgia,GEO,62.2702268197758
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Germany,DEU,38.8809488607429
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ghana,GHA,55.397876741454
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gibraltar,GIB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greece,GRC,31.6709800188316
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greenland,GRL,50.4896743314255
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Grenada,GRD,56.7157978683925
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guam,GUM,53.6071616640337
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guatemala,GTM,30.1458168357463
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea,GIN,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea-Bissau,GNB,32.9010099457848
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guyana,GUY,63.4427250021583
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Haiti,HTI,50.5443249520824
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Honduras,HND,63.0937713146435
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Hong Kong SAR, China",HKG,193.495680728741
