Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Afghanistan,AFG,0.993453782028283
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Albania,ALB,1.16760128654391
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Algeria,DZA,6.27421002746322
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,American Samoa,ASM,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Andorra,AND,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Angola,AGO,3.51593857254428
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Antigua and Barbuda,ATG,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Argentina,ARG,0.864722840014817
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Armenia,ARM,4.2392258025425
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Aruba,ABW,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Australia,AUS,1.97886106259926
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Austria,AUT,0.664018970245477
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Azerbaijan,AZE,5.60867966164031
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Bahamas, The",BHS,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bahrain,BHR,4.59271386239118
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bangladesh,BGD,1.46026638568014
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Barbados,BRB,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belarus,BLR,1.2818401017642
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belgium,BEL,0.926577447548358
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belize,BLZ,1.09445467117968
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Benin,BEN,1.09632501988295
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bermuda,BMU,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bhutan,BTN,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bolivia,BOL,1.74383901653531
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bosnia and Herzegovina,BIH,1.00072724891381
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Botswana,BWA,2.66286965461947
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Brazil,BRA,1.36442825783942
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,British Virgin Islands,VGB,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Brunei Darussalam,BRN,3.27929182135223
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bulgaria,BGR,1.31645318203049
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Burkina Faso,BFA,1.41981523059178
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Burundi,BDI,2.15750646677165
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cabo Verde,CPV,0.566746281181685
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cambodia,KHM,2.11269807161138
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cameroon,CMR,1.14443329649881
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Canada,CAN,0.982111482667648
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cayman Islands,CYM,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Central African Republic,CAF,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Chad,TCD,2.02944820964625
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Channel Islands,CHI,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Chile,CHL,1.91197747100313
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,China,CHN,1.93492216638187
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Colombia,COL,3.13089256760814
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Comoros,COM,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Congo, Dem. Rep.",COD,1.29563974884727
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Congo, Rep.",COG,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Costa Rica,CRI,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cote d'Ivoire,CIV,1.71944602659167
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Croatia,HRV,1.54013965016805
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cuba,CUB,3.08379852363289
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Curacao,CUW,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cyprus,CYP,1.66644121294104
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Czech Republic,CZE,0.943773890107518
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Denmark,DNK,1.1165167322116
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Djibouti,DJI,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Dominica,DMA,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Dominican Republic,DOM,0.672525002499321
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Ecuador,ECU,2.46653035536601
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Egypt, Arab Rep.",EGY,1.72314742829085
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,El Salvador,SLV,0.951929845841103
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Equatorial Guinea,GNQ,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Eritrea,ERI,..
