Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,71.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,99.3367080688477
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,42
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,96.8262939453125
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,99.9952087402344
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,95.2381820678711
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,68.2046813964844
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,91.8
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,40.0334777832031
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,98.4235229492188
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,91.522822
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,58.528751373291
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,99.710902
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,18.4700813293457
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,7.25208950042725
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,90.2439041137695
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,47.5657386779785
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,58.8651008605957
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,13.3844232559204
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,7.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Channel Islands,CHI,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chile,CHL,99.714844
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Colombia,COL,98.186898
Access to electricity (% of population),EG.ELC.ACCS.ZS,Comoros,COM,75.3807144165039
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Dem. Rep.",COD,16.4191646575928
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Rep.",COG,60.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Costa Rica,CRI,99.409804
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cote d'Ivoire,CIV,64.0861968994141
Access to electricity (% of population),EG.ELC.ACCS.ZS,Croatia,HRV,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cuba,CUB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Curacao,CUW,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cyprus,CYP,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Czech Republic,CZE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Denmark,DNK,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Djibouti,DJI,52.0257759094238
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominica,DMA,99.9029693603516
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominican Republic,DOM,98.560364
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ecuador,ECU,98.825883
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Egypt, Arab Rep.",EGY,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,El Salvador,SLV,95.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Equatorial Guinea,GNQ,67.473747253418
