Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Afghanistan,AFG,15.2
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Albania,ALB,13.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Algeria,DZA,23.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,American Samoa,ASM,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Andorra,AND,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Angola,AGO,24.4
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Antigua and Barbuda,ATG,11.5
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Argentina,ARG,14.1
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Armenia,ARM,15.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Aruba,ABW,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Australia,AUS,5.4
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Austria,AUT,5.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Azerbaijan,AZE,10
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,"Bahamas, The",BHS,11
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bahrain,BHR,7.1
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bangladesh,BGD,12.8
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Barbados,BRB,5.5
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Belarus,BLR,12.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Belgium,BEL,7.1
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Belize,BLZ,21.3
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Benin,BEN,27.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bermuda,BMU,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bhutan,BTN,15
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bolivia,BOL,23.3
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bosnia and Herzegovina,BIH,16.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Botswana,BWA,21
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Brazil,BRA,22.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,British Virgin Islands,VGB,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Brunei Darussalam,BRN,8
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Bulgaria,BGR,7.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Burkina Faso,BFA,30.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Burundi,BDI,32.7
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Cabo Verde,CPV,21.3
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Cambodia,KHM,19
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Cameroon,CMR,28.1
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Canada,CAN,5.8
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Cayman Islands,CYM,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Central African Republic,CAF,31.8
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Chad,TCD,24.3
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Channel Islands,CHI,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Chile,CHL,11.6
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,China,CHN,19.4
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Colombia,COL,18.9
