Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Afghanistan,AFG,9
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Albania,ALB,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Algeria,DZA,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,American Samoa,ASM,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Andorra,AND,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Angola,AGO,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Antigua and Barbuda,ATG,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Argentina,ARG,3
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Armenia,ARM,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Aruba,ABW,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Australia,AUS,11
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Austria,AUT,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Azerbaijan,AZE,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Bahamas, The",BHS,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bahrain,BHR,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bangladesh,BGD,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Barbados,BRB,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belarus,BLR,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belgium,BEL,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belize,BLZ,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Benin,BEN,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bermuda,BMU,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bhutan,BTN,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bolivia,BOL,0
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bosnia and Herzegovina,BIH,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Botswana,BWA,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Brazil,BRA,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,British Virgin Islands,VGB,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Brunei Darussalam,BRN,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bulgaria,BGR,9
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Burkina Faso,BFA,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Burundi,BDI,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cabo Verde,CPV,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cambodia,KHM,10
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cameroon,CMR,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Canada,CAN,9
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cayman Islands,CYM,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Central African Republic,CAF,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Chad,TCD,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Channel Islands,CHI,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Chile,CHL,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,China,CHN,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Colombia,COL,12
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Comoros,COM,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Congo, Dem. Rep.",COD,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Congo, Rep.",COG,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Costa Rica,CRI,10
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cote d'Ivoire,CIV,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Croatia,HRV,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cuba,CUB,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Curacao,CUW,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cyprus,CYP,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Czech Republic,CZE,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Denmark,DNK,8
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Djibouti,DJI,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Dominica,DMA,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Dominican Republic,DOM,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ecuador,ECU,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Egypt, Arab Rep.",EGY,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,El Salvador,SLV,9
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Equatorial Guinea,GNQ,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Eritrea,ERI,0
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Estonia,EST,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ethiopia,ETH,3
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Faroe Islands,FRO,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Fiji,FJI,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Finland,FIN,7
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,France,FRA,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,French Polynesia,PYF,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Gabon,GAB,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Gambia, The",GMB,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Georgia,GEO,9
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Germany,DEU,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Ghana,GHA,7
