Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,26.703
Urban population (% of total),SP.URB.TOTL.IN.ZS,Albania,ALB,57.407
Urban population (% of total),SP.URB.TOTL.IN.ZS,Algeria,DZA,70.727
Urban population (% of total),SP.URB.TOTL.IN.ZS,American Samoa,ASM,87.202
Urban population (% of total),SP.URB.TOTL.IN.ZS,Andorra,AND,85.115
Urban population (% of total),SP.URB.TOTL.IN.ZS,Angola,AGO,44.05
Urban population (% of total),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,23.773
Urban population (% of total),SP.URB.TOTL.IN.ZS,Argentina,ARG,91.751
Urban population (% of total),SP.URB.TOTL.IN.ZS,Armenia,ARM,62.673
Urban population (% of total),SP.URB.TOTL.IN.ZS,Aruba,ABW,41.528
Urban population (% of total),SP.URB.TOTL.IN.ZS,Australia,AUS,89.423
Urban population (% of total),SP.URB.TOTL.IN.ZS,Austria,AUT,65.968
Urban population (% of total),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,54.62
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,82.874
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.775
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,34.277
Urban population (% of total),SP.URB.TOTL.IN.ZS,Barbados,BRB,31.475
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belarus,BLR,76.667
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belgium,BEL,97.858
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belize,BLZ,43.973
Urban population (% of total),SP.URB.TOTL.IN.ZS,Benin,BEN,43.95
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bhutan,BTN,38.644
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bolivia,BOL,68.512
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,39.767
Urban population (% of total),SP.URB.TOTL.IN.ZS,Botswana,BWA,57.444
Urban population (% of total),SP.URB.TOTL.IN.ZS,Brazil,BRA,85.687
Urban population (% of total),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,46.186
Urban population (% of total),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,77.202
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,73.948
Urban population (% of total),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,29.859
Urban population (% of total),SP.URB.TOTL.IN.ZS,Burundi,BDI,12.057
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,65.526
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cambodia,KHM,20.723
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cameroon,CMR,54.381
Urban population (% of total),SP.URB.TOTL.IN.ZS,Canada,CAN,81.828
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,40.037
Urban population (% of total),SP.URB.TOTL.IN.ZS,Chad,TCD,22.471
Urban population (% of total),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,31.465
Urban population (% of total),SP.URB.TOTL.IN.ZS,Chile,CHL,89.53
Urban population (% of total),SP.URB.TOTL.IN.ZS,China,CHN,55.614
Urban population (% of total),SP.URB.TOTL.IN.ZS,Colombia,COL,76.436
Urban population (% of total),SP.URB.TOTL.IN.ZS,Comoros,COM,28.296
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,42.494
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,65.38
Urban population (% of total),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,76.821
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,54.18
Urban population (% of total),SP.URB.TOTL.IN.ZS,Croatia,HRV,58.964
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cuba,CUB,77.074
