"","X","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"Switzerland",1,"Switzerland","Western Europe",2.43147239939543,1.44988782837303,1.59536152309781,1.5917414195252,1.84121522757346,1.80883294536433,0.594071621998407,-0.998305571181402,1.17348466282553,0.709027035225295,-0.239565992514353,-1.13151487046841,0.728732328202691,-0.9717617258692,0.734373464500015,0.4164680741339,1.13675887945677,-0.161003859760677,0.316161802149676,-0.296409602086355,0.753536111752307,1.01235167335525,-0.250110791591809,-0.533070234972238,0.10384389310277,0.178064446895181,-1.58581203457578,0.537567657033083,0.370712860893872
"Iceland",2,"Iceland","Western Europe",2.16909874493611,1.13802925583955,1.93390557215598,1.65628317017099,1.45287345806453,0.318074123307477,1.44686262096048,-1.84633638230341,2.43147239939543,0.083408245902866,-2.52525985313889,-1.95661406178615,0.0660118123758406,-0.304663675466873,0.44619238834441,0.278648210345038,1.13675887945677,-0.528513237171645,0.199201324789267,0.141825242326317,0.753536111752307,0.170642380389107,-1.12597839273265,-0.588210549209055,-1.61985625863827,0.0522995556137046,-1.58581203457578,1.62612849744941,0.048726643634854
"Denmark",3,"Denmark","Western Europe",2.00360134237245,1.21293510770881,1.66477309903496,1.02520816500103,1.66507484590811,1.95757044949924,0.896287331085992,-1.26078328519975,1.87968973092101,0.483811708601436,-0.490146231781829,-1.19139119938183,0.680416776238936,-0.601030491777107,0.429912194671995,0.132149226767286,1.13675887945677,-0.688856488909029,0.122812419850878,-0.257241329086499,0.753536111752307,0.170642380389107,0.905385110276235,-1.82720353259824,-0.396509334145014,-0.159591765939658,-1.77931599593264,1.25774088382411,0.967985343888898
"Norway",4,"Norway","Western Europe",1.87968973092101,1.66811521444186,1.48094974268266,1.10458289387,1.88795185050839,1.64500749311709,0.932087362986143,-1.58811801081939,2.00360134237245,0.0020357144454326,-0.550071296467694,-1.55367446290943,0.0943740485029919,-0.479228045135541,1.23609601351121,0.0926467142330522,1.13675887945677,-0.105605064387457,-0.336038140371823,0.356048143350943,0.753536111752307,0.170642380389107,-1.8062669870491,-1.08438193805418,0.199201324789267,0.323075501494712,-1.87968973092101,0.870824149641161,0.048726643634854
"Canada",5,"Canada","North America",1.77931599593264,1.21557510344737,1.43033226963318,1.26756905160829,1.49510295632706,1.51591704717517,1.55822088749746,-1.9839990761011,1.29451172542578,-0.801691058200022,0.681940631733698,-0.953205868870368,0.704368997936395,-0.872514726296535,1.56124573190294,0.293539423841463,0.610767694252199,-0.231046283321664,0.416981787294106,1.29451172542578,0.753536111752307,0.170642380389107,-1.63080017947869,-1.55351247251084,0.47950565333095,-0.251114734622305,-1.03482235752387,0.941844462068782,1.24809009814159
"Finland",6,"Finland","Western Europe",1.69420905962633,1.09942695080172,1.40412492338046,1.13468641207554,1.58440824089441,1.79253460944775,0.106978011496684,-1.93755444326447,1.55351247251084,0.680755798243598,-0.514801043320221,-1.62011861989837,1.33936730456084,-0.547693198333123,1.5312937012407,0.75756858691336,1.13675887945677,-0.711464352566349,-0.52223925228217,0.208822935409233,0.753536111752307,-0.255436412643878,-1.60591524824454,-1.01885738688099,1.87968973092101,0.323075501494712,-1.29451172542578,1.06922380354981,0.676209694145264
"Netherlands",7,"Netherlands","Western Europe",1.61985625863827,1.22585492499746,1.18025185697917,1.16391250506314,1.32512456693586,1.46973484148374,1.64632903377159,-0.786329705988899,1.69420905962633,0.350071305467389,0.216500722736111,-1.24544929136312,0.622163161537351,-0.596223071577247,1.32469783296219,0.000355374832744586,1.13675887945677,-0.804695526013763,-0.199201324789267,-0.0660118123758407,0.753536111752307,1.01235167335525,0.526638086848783,-0.356048143350943,-0.588210549209055,0.323075501494712,-1.58581203457578,1.41587996033392,-1.06677706202733
"Sweden",8,"Sweden","Western Europe",1.55351247251084,1.23327595465343,1.2316677271418,1.31168790706455,1.77741603217059,1.85648301610276,1.02964819429367,-2.21967034179506,1.33936730456084,0.54039357084031,-0.135498575910673,-1.51915242325676,0.468960676235104,-0.354437376526892,1.245817904162,0.475363039912148,1.13675887945677,-0.397448969743869,-0.437630531047301,-0.0282740103804692,0.753536111752307,-0.255436412643878,-1.60664905638626,-1.46523379268552,1.77931599593264,0.712670905474592,-2.28086577088399,1.15550421189282,0.370712860893872
"New Zealand",9,"New Zealand","Australia and New Zealand",1.49337770394981,0.973338830581837,1.41260520076107,1.290512842448,1.56053143027052,1.83340530445279,1.64108360170577,-2.41758689638241,1.25211952026522,0.302513601174193,-0.630129119687121,-0.972446238180113,0.957438716409626,-0.236538352568176,2.40698687656014,0.315592464791491,1.13675887945677,-0.173803575796296,-0.296409602086355,1.43820484883178,0.753536111752307,0.170642380389107,-0.0622283071426763,-1.65588869757704,0.52223925228217,0.0522995556137046,-1.00314796766253,1.181114625993,2.03251608101651
"Australia",10,"Australia","Australia and New Zealand",1.43820484883178,1.23939754324748,1.35014413930477,1.49661975180424,1.68486607713631,1.61533258481817,1.4433075912133,-2.3147675979901,1.06757052387814,0.607519282828632,0.429003167358467,-1.11919492947454,1.61985625863827,-0.422766399942058,2.52127185925568,0.213127614797853,1.13675887945677,0.121673621005274,-0.0849126598079153,1.21186539705991,0.753536111752307,0.170642380389107,0.193808272305401,-1.25211952026522,-0.356048143350943,0.323075501494712,-1.17348466282553,1.35524046867261,1.77923858294193
