"","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"1","Switzerland","Western Europe",7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,12.89019363,87.4790555978675,136.469744289389,8319768.5,0.409000015258789,10.4,1.54,17.0680306968,11.7519982806,100,1.035,0.343115852782,19.1,100,12,38.182002226946,2.3,31.7339811721834,94,3.6,73.912,6
"2","Iceland","Western Europe",7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,7.78903328,98.2,114.014575562472,330243,0.205800008773804,6.9,1.946,16.4896401891,10.8774529341,100,0.607,0.269722252104,21.5,100,10,18.6733167082294,2.2,0.490773067331671,93,3.6,94.137,5
"3","Denmark","Western Europe",7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,11.02259277,96.3305,128.341937604507,5688695,0.377900004386902,10.2,1.7359999,16.4581074774,10.0137035726,100,0.422,0.254063848461,19.3,100,10,62.181471778995,0.2,14.5796618242439,91,3.4,87.676,8
"4","Norway","Western Europe",7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,9.07633792,96.8103,111.123188307166,5199836,0.250699996948242,7,1.816,18.1708284698,9.79183880732,100,1.1,0.154677737437,22.6,100,10,2.69983161987159,0.9,33.1613026872373,95,3.3,80.473,5
"5","Canada","North America",7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,7.178847511,88.47,82.9772383664114,35949712,0.52170000076294,10.3,1.586,18.9549285441,10.9689777249,99.8,0.953,0.410759454509,28.8,100,10,6.89021071071566,0.4,38.1666705155655,90,5.8,81.828,9
"6","Finland","Western Europe",7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,7.379235597,92.6513,135.446852648944,5481966,0.237199997901917,11.9,1.77,18.8803081776,14.2015507087,100,0.396,0.0711347596718,21.8,100,9,7.48050409660755,1,73.1071698858215,95,4.4,84.221,7
"7","Netherlands","Western Europe",7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,14.63752206,93.0965,123.538429708276,16938498,0.352500009536743,9.6,1.739,18.3788927681,9.29097380152,100,0.289,0.179398849129,20,100,12,54.5265657465123,4.6,11.1605817750074,95,3.6,90.496,2
"8","Sweden","Western Europe",7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,6.241379908,90.6102,130.379405239366,9763565,0.258800005912781,8.7,1.9069999,18.1934573339,12.1450511172,100,0.759,0.132719440608,20.2,100,9,7.4631116348727,0.5,68.9229333922565,97,2.9,85.815,6
"9","New Zealand","Australia and New Zealand",7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,5.546610811,88.22288881795,121.834585183696,4614532,0.507999992370605,11.2,2.0020001,21.2764345308,11.1058210462,100,1.02,0.169364028386,30.2,100,10,42.2163989214234,0.3,38.5553150279139,93,6.1,86.284,12
"10","Australia","Australia and New Zealand",7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,5.897734951,84.560519347399,132.800509432285,23799556,0.415799999237061,12.6,1.8559999,21.623787534,10.4830230325,100,1.368,0.201193643293,28.4,100,10,47.6306574853885,0.7,16.2387566223657,95,5.4,89.423,11
