,Country,Region,Happiness_Score,Econonmy_GDP_Per_Capita,Family,Health_Life_Expectancy,Freedom,Trust_Government_Corruption,Generosity,Air_Pollution,Internet_Usage_Index,Cellular_Subscriber_Index,Total_Population,Child_Mortality_Index,Alcohol_Consumption_Index,Birth_Rate_Index,Mental_and_Substance_Disorder_Index,Suicide_Index,Clean_Water_Index,Population_Growth_Rate,HIV_Disease_Index,Obesity_Index,Electricity_Access_Population_Percentage,Compulsory_Education_in_Years,Agricultural_Land_Percentage,Entrepreneurship_Cost_Index,Forest_Area_Land_Percentage,Infant_Immunization_Measles_Index,Automotive_Mortality_Index,Urban_Population_Percentage,Legal_Rights_Index
1,Switzerland,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,12.89019363,87.4790556,136.4697443,8319768.5,0.409000015,10.4,1.54,17.0680307,11.75199828,100,1.035,0.343115853,19.1,100,12,38.18200223,2.3,31.73398117,94,3.6,73.912,6
2,Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,7.78903328,98.2,114.0145756,330243,0.205800009,6.9,1.946,16.48964019,10.87745293,100,0.607,0.269722252,21.5,100,10,18.67331671,2.2,0.490773067,93,3.6,94.137,5
3,Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,11.02259277,96.3305,128.3419376,5688695,0.377900004,10.2,1.7359999,16.45810748,10.01370357,100,0.422,0.254063848,19.3,100,10,62.18147178,0.2,14.57966182,91,3.4,87.676,8
4,Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,9.07633792,96.8103,111.1231883,5199836,0.250699997,7,1.816,18.17082847,9.791838807,100,1.1,0.154677737,22.6,100,10,2.69983162,0.9,33.16130269,95,3.3,80.473,5
5,Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,7.178847511,88.47,82.97723837,35949712,0.521700001,10.3,1.586,18.95492854,10.96897772,99.8,0.953,0.410759455,28.8,100,10,6.890210711,0.4,38.16667052,90,5.8,81.828,9
6,Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,7.379235597,92.6513,135.4468526,5481966,0.237199998,11.9,1.77,18.88030818,14.20155071,100,0.396,0.07113476,21.8,100,9,7.480504097,1,73.10716989,95,4.4,84.221,7
7,Netherlands,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,14.63752206,93.0965,123.5384297,16938498,0.35250001,9.6,1.739,18.37889277,9.290973802,100,0.289,0.179398849,20,100,12,54.52656575,4.6,11.16058178,95,3.6,90.496,2
8,Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,6.241379908,90.6102,130.3794052,9763565,0.258800006,8.7,1.9069999,18.19345733,12.14505112,100,0.759,0.132719441,20.2,100,9,7.463111635,0.5,68.92293339,97,2.9,85.815,6
9,New Zealand,Australia and New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,5.546610811,88.22288882,121.8345852,4614532,0.507999992,11.2,2.0020001,21.27643453,11.10582105,100,1.02,0.169364028,30.2,100,10,42.21639892,0.3,38.55531503,93,6.1,86.284,12
10,Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,5.897734951,84.56051935,132.8005094,23799556,0.415799999,12.6,1.8559999,21.62378753,10.48302303,100,1.368,0.201193643,28.4,100,10,47.63065749,0.7,16.23875662,95,5.4,89.423,11
